sido,sigungu,lat,lng,coastal,metro
경기도,수원시,37.263,127.029,0,0
경기도,성남시,37.420,127.127,0,0
경기도,의정부시,37.738,127.034,0,0
경기도,안양시,37.394,126.957,0,0
경기도,부천시,37.503,126.766,0,0
경기도,광명시,37.479,126.865,0,0
경기도,평택시,36.992,127.113,1,0
경기도,동두천시,37.903,127.060,0,0
경기도,안산시,37.322,126.831,1,0
경기도,고양시,37.658,126.832,0,0
경기도,과천시,37.429,126.988,0,0
경기도,구리시,37.594,127.130,0,0
경기도,남양주시,37.636,127.216,0,0
경기도,오산시,37.150,127.077,0,0
경기도,시흥시,37.380,126.803,1,0
경기도,군포시,37.361,126.935,0,0
경기도,의왕시,37.345,126.968,0,0
경기도,하남시,37.539,127.215,0,0
경기도,용인시,37.241,127.178,0,0
경기도,파주시,37.760,126.780,0,0
경기도,이천시,37.272,127.435,0,0
경기도,안성시,37.008,127.280,0,0
경기도,김포시,37.615,126.716,1,0
경기도,화성시,37.199,126.831,1,0
경기도,광주시,37.429,127.255,0,0
경기도,양주시,37.785,127.046,0,0
경기도,포천시,37.895,127.200,0,0
경기도,여주시,37.298,127.637,0,0
경기도,연천군,38.096,127.075,0,0
경기도,가평군,37.831,127.510,0,0
경기도,양평군,37.492,127.488,0,0
강원특별자치도,춘천시,37.881,127.730,0,0
강원특별자치도,원주시,37.342,127.920,0,0
강원특별자치도,강릉시,37.752,128.876,1,0
강원특별자치도,동해시,37.525,129.114,1,0
강원특별자치도,태백시,37.164,128.986,0,0
강원특별자치도,속초시,38.207,128.592,1,0
강원특별자치도,삼척시,37.450,129.165,1,0
강원특별자치도,홍천군,37.697,127.889,0,0
강원특별자치도,횡성군,37.492,127.985,0,0
강원특별자치도,영월군,37.184,128.462,0,0
강원특별자치도,평창군,37.371,128.390,0,0
강원특별자치도,정선군,37.380,128.661,0,0
강원특별자치도,철원군,38.147,127.313,0,0
강원특별자치도,화천군,38.106,127.708,0,0
강원특별자치도,양구군,38.106,127.990,0,0
강원특별자치도,인제군,38.070,128.170,0,0
강원특별자치도,고성군,38.381,128.468,1,0
강원특별자치도,양양군,38.075,128.619,1,0
충청북도,청주시,36.642,127.489,0,0
충청북도,충주시,36.991,127.926,0,0
충청북도,제천시,37.133,128.191,0,0
충청북도,보은군,36.489,127.729,0,0
충청북도,옥천군,36.306,127.571,0,0
충청북도,영동군,36.175,127.783,0,0
충청북도,증평군,36.785,127.581,0,0
충청북도,진천군,36.855,127.436,0,0
충청북도,괴산군,36.815,127.787,0,0
충청북도,음성군,36.940,127.690,0,0
충청북도,단양군,36.985,128.365,0,0
충청남도,천안시,36.815,127.114,0,0
충청남도,공주시,36.447,127.119,0,0
충청남도,보령시,36.333,126.613,1,0
충청남도,아산시,36.790,127.002,0,0
충청남도,서산시,36.785,126.450,1,0
충청남도,논산시,36.187,127.099,0,0
충청남도,계룡시,36.274,127.249,0,0
충청남도,당진시,36.890,126.646,1,0
충청남도,금산군,36.109,127.488,0,0
충청남도,부여군,36.276,126.910,0,0
충청남도,서천군,36.080,126.692,1,0
충청남도,청양군,36.459,126.802,0,0
충청남도,홍성군,36.601,126.661,1,0
충청남도,예산군,36.681,126.845,0,0
충청남도,태안군,36.746,126.298,1,0
전북특별자치도,전주시,35.824,127.148,0,0
전북특별자치도,군산시,35.968,126.737,1,0
전북특별자치도,익산시,35.948,126.958,0,0
전북특별자치도,정읍시,35.570,126.856,0,0
전북특별자치도,남원시,35.416,127.390,0,0
전북특별자치도,김제시,35.804,126.881,1,0
전북특별자치도,완주군,35.905,127.162,0,0
전북특별자치도,진안군,35.792,127.425,0,0
전북특별자치도,무주군,36.007,127.661,0,0
전북특별자치도,장수군,35.647,127.521,0,0
전북특별자치도,임실군,35.618,127.289,0,0
전북특별자치도,순창군,35.374,127.138,0,0
전북특별자치도,고창군,35.436,126.702,1,0
전북특별자치도,부안군,35.732,126.733,1,0
전라남도,목포시,34.812,126.392,1,0
전라남도,여수시,34.760,127.662,1,0
전라남도,순천시,34.951,127.487,1,0
전라남도,나주시,35.016,126.711,0,0
전라남도,광양시,34.941,127.696,1,0
전라남도,담양군,35.321,126.988,0,0
전라남도,곡성군,35.282,127.292,0,0
전라남도,구례군,35.203,127.463,0,0
전라남도,고흥군,34.611,127.285,1,0
전라남도,보성군,34.771,127.080,1,0
전라남도,화순군,35.064,126.986,0,0
전라남도,장흥군,34.682,126.907,1,0
전라남도,강진군,34.642,126.767,1,0
전라남도,해남군,34.573,126.599,1,0
전라남도,영암군,34.800,126.697,1,0
전라남도,무안군,34.990,126.482,1,0
전라남도,함평군,35.066,126.517,1,0
전라남도,영광군,35.277,126.512,1,0
전라남도,장성군,35.302,126.785,0,0
전라남도,완도군,34.311,126.755,1,0
전라남도,진도군,34.487,126.264,1,0
전라남도,신안군,34.834,126.352,1,0
경상북도,포항시,36.019,129.343,1,0
경상북도,경주시,35.856,129.225,1,0
경상북도,김천시,36.140,128.114,0,0
경상북도,안동시,36.568,128.730,0,0
경상북도,구미시,36.120,128.344,0,0
경상북도,영주시,36.806,128.624,0,0
경상북도,영천시,35.973,128.939,0,0
경상북도,상주시,36.411,128.159,0,0
경상북도,문경시,36.587,128.187,0,0
경상북도,경산시,35.825,128.741,0,0
경상북도,의성군,36.353,128.697,0,0
경상북도,청송군,36.436,129.057,0,0
경상북도,영양군,36.667,129.112,0,0
경상북도,영덕군,36.415,129.366,1,0
경상북도,청도군,35.647,128.734,0,0
경상북도,고령군,35.726,128.263,0,0
경상북도,성주군,35.919,128.283,0,0
경상북도,칠곡군,35.995,128.402,0,0
경상북도,예천군,36.658,128.453,0,0
경상북도,봉화군,36.893,128.733,0,0
경상북도,울진군,36.993,129.400,1,0
경상북도,울릉군,37.484,130.906,1,0
경상남도,창원시,35.228,128.682,1,0
경상남도,진주시,35.180,128.108,0,0
경상남도,통영시,34.854,128.433,1,0
경상남도,사천시,35.004,128.064,1,0
